Домен,Статус,Рішення ПлейСіті,Рішення НКЕК,Останнє оновлення
1-topmatch.if.ua,Заблокований,від 04.12.2025 №178-Р,від 17.12.2025 №713,2025-12-24
1topmatch.live,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1topmatch.net,Заблокований,від 02.07.2025 №27-Р,від 09.07.2025 №430,2025-11-05
1-top-match.vn.ua,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
1-topmatch.vn.ua,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1topmatch.win,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1vin.co.ua,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wbegp.live,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
1wbhdb.life,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
1wbmhp.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wbucw.com,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
1wcash.com,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1wcawu.com,Заблокований,від 05.03.2026 №53-Р,від 11.03.2026 №124,2026-03-16
1wcgbp.life,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1wclak.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1wdazw.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1wdjbd.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1wdrcc.top,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1wdyze.life,Заблокований,від 16.04.2026 №132-Р,17.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-04-28
1wdzjb.life,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1weaou.life,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1wekov.life,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1wezph.com,Заблокований,від 04.12.2025 №178-Р,від 17.12.2025 №713,2025-12-24
1wfafs.life,Заблокований,Від 14.05.2026 №185-Р,15.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-19
1wfcac.com,Заблокований,від 03.04.2026 №99-Р,повідомлення на вебсайті НКЕК від 07.04.2026,2026-04-16
1wflsk.com,Заблокований,від 16.01.2026 №13-Р,від 28.01.2026 №35,2026-02-02
1wfssx.life,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1wftvx.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wfuud.life,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1wfwno.life,Заблокований,від 02.07.2025 №27-Р,від 09.07.2025 №430,2025-11-05
1wgltp.life,Заблокований,від 06.05.2026 № 173-Р,08.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-12
1whecs.life,Заблокований,від 04.12.2025 №178-Р,від 17.12.2025 №713,2025-12-24
1whfxh.life,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1whhra.life,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1whqib.life,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wihrq.life,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1wilnq.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1win100.casino,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win101.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win111.com,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win113.com,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win114.com,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win114.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win115.com,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win115.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win116.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win121.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win123.com,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win123.net,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win197.casino,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win201.casino,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win202.casino,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win205.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win23.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win24.site,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win30.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win31.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win330.casino,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win333.casino,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win3.net,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win55.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win68.top,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win80.xyz,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win95.casino,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win99.com,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1win-bet.com,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1win-bet.ng,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1winbets.net,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1-win.br.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win.br.com,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
1win.cash,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win.com,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1win.co.ua,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1win.fyi,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win.in.ua,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win.kiev.ua,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1winkyrgyzstan.net,Заблокований,від 30.07.2025 №52-Р,від 06.08.2025 №481,2025-11-05
1win.lat,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win.net.ua,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1win.ng,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win-onewin.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1winonline.in,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win.org.ua,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win-partners.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1win.run,Заблокований,від 30.07.2025 №52-Р,від 06.08.2025 №481,2025-11-05
1wins.in,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1wins.ng,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wintoken.com,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1win-traffic-race.life,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1win.za.com,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1winzerkalo.org.ua,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wiojq.com,Заблокований,від 05.03.2026 №53-Р,від 11.03.2026 №124,2026-03-16
1wiprc.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wjbd.com,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1wjirq.com,Заблокований,від 05.03.2026 №53-Р,від 11.03.2026 №124,2026-03-16
1wjnqx.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1wjpvy.life,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wkcif.com,Заблокований,від 16.04.2026 №132-Р,17.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-04-28
1wkrii.life,Заблокований,від 19.02.2026 №40-Р,від 25.02.2026 №99,2026-03-06
1wlvkt.life,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wmefm.com,Заблокований,від 05.03.2026 №53-Р,від 11.03.2026 №124,2026-03-16
1wnaej.com,Заблокований,від 12.05.2026 №182-Р,"13.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
1woahn.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1woccb.life,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
1woleo.com,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
1woqju.com,Заблокований,від 16.01.2026 №13-Р,від 28.01.2026 №35,2026-02-02
1woqlv.life,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1wossq.life,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1wpnrf.com,Заблокований,від 06.08.2025 №62-Р,від 20.08.2025 №504,2025-11-05
1wpxba.com,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1wqgmh.life,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
1wqktb.life,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1wrfce.com,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1wrhvm.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1wrlst.com,Заблокований,від 05.03.2026 №53-Р,від 11.03.2026 №124,2026-03-16
1wrmpj.com,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1wrmwr.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1w.run,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
1wsfih.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1wsfzc.com,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1wsvyq.live,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
1wtbdp.life,Заблокований,від 12.05.2026 №182-Р,"13.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
1wtcz.com,Заблокований,від 23.06.2025 №24-Р,від 02.07.2025 №418,2025-11-05
1wudxf.com,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
1wueu.com,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
1wulcq.life,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1wurqj.com,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
1wvear.life,Заблокований,від 04.05.2026 №167-Р,06.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-08
1wvwnm.life,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1wxcgo.com,Заблокований,від 03.04.2026 №99-Р,повідомлення на вебсайті НКЕК від 07.04.2026,2026-04-16
1wxfvg.com,Заблокований,від 16.01.2026 №13-Р,від 28.01.2026 №35,2026-02-02
1wxyys.life,Заблокований,Від 14.05.2026 №185-Р,15.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-19
1wytgq.life,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
1wyvrz.life,Заблокований,від 27.08.2025 №74-Р,від 03.09.2025 №533,2026-03-18
1wzeqq.life,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1xbet.ua,Анульовано,Рішення КРАІЛ від 06.09.2022 № 320 	,Рішення КРАІЛ від 06.09.2022 № 320 	,2025-08-20
1xbit-29302.today,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
1xbit338306.bar,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1xbit-51189.today,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1xbit570352.info,Заблокований,від 16.07.2025 №33-Р,від 23.07.2025 №452,2025-11-05
1xbit-welcome.com,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
1xstavka.ru,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
20bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
21-b4nd--wins.com,Заблокований,від 12.05.2026 №182-Р,"13.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
21bitstarz.com,Заблокований,від 09.07.2025 №29-Р,від 16.07.2025 №440,2025-11-05
21grdcasino.com,Заблокований,від 03.04.2026 №99-Р,повідомлення на вебсайті НКЕК від 07.04.2026,2026-04-16
21lee-games.com,Заблокований,від 12.05.2026 №182-Р,"13.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
22bet22.com,Заблокований,від 11.09.2025 №83-Р,від 17.09.2025 №555,2025-11-05
22bet.online,Заблокований,від 11.09.2025 №83-Р,від 17.09.2025 №555,2025-11-05
22bet-slovenia.com,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
22bit1.com,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
22bitstarz.com,Заблокований,від 09.07.2025 №29-Р,від 16.07.2025 №440,2025-11-05
23bitstarz.com,Заблокований,від 09.07.2025 №29-Р,від 16.07.2025 №440,2025-11-05
248bet4.com,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
24bitstarz.com,Заблокований,від 09.07.2025 №29-Р,від 16.07.2025 №440,2025-11-05
24johnny.club,Заблокований,від 19.02.2026 №40-Р,від 25.02.2026 №99,2026-03-06
24johnny.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
24johnny.live,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
24johnny.net,Заблокований,від 16.01.2026 №13-Р,від 28.01.2026 №35,2026-02-02
24johnny.top,Заблокований,від 05.03.2026 №53-Р,від 11.03.2026 №124,2026-03-16
24-parik1.net,Заблокований,від 29.04.2026 №161-Р,30.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-07
24parik-24.com.ua,Заблокований,від 12.05.2026 №182-Р,"13.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
24parik.bet,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
24parik-bet.biz,Заблокований,від 19.02.2026 №40-Р,від 25.02.2026 №99,2026-03-06
24-parikbet.win,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
24parik-bet.win,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
24-parik.biz,Заблокований,від 19.02.2026 №40-Р,від 25.02.2026 №99,2026-03-06
24parik.biz,Заблокований,від 16.01.2026 №13-Р,від 28.01.2026 №35,2026-02-02
24-parik.club,Заблокований,від 03.04.2026 №99-Р,повідомлення на вебсайті НКЕК від 07.04.2026,2026-04-16
24-parik.com,Заблокований,від 16.01.2026 №13-Р,від 28.01.2026 №35,2026-02-02
24parik.com,Заблокований,від 17.09.2025 №89-Р,від 24.09.2025 №568,2025-11-05
24parik.io,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
24parik.live,Заблокований,від 15.05.2026 №188-Р,"19.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-20
24-parik.net,Заблокований,від 04.05.2026 №167-Р,06.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-08
24parik.net,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
24-parik.one,Заблокований,від 16.04.2026 №132-Р,17.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-04-28
24-parik.org,Заблокований,від 03.09.2025 №77-Р,від 10.09.2025 №547,2025-11-05
24parik.org,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
24-parik.pro,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
24parik.win,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
24slotspromo.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
25bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
25verdecasino1.com,Заблокований,від 04.12.2025 №178-Р,від 17.12.2025 №713,2025-12-24
